timestamp,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data,found_marker_id,found_marker_index,found_marker_data
1687833247.2710257,"(0, 0, 0)","(0, 0, 0)","(5.262369155883789, 56.901859283447266, 544.5006713867188)","(0, 0, 0)","(0, 0, 0)",670,2,"(5.262369155883789, 56.901859283447266, 544.5006713867188)"
1687833247.2795506,"(0, 0, 0)","(0, 0, 0)","(4.736337661743164, 57.29620361328125, 544.6133422851562)","(0, 0, 0)","(0, 0, 0)",670,2,"(4.736337661743164, 57.29620361328125, 544.6133422851562)"
1687833247.2877722,"(0, 0, 0)","(0, 0, 0)","(4.141635894775391, 57.68437957763672, 544.6978149414062)","(0, 0, 0)","(0, 0, 0)",670,2,"(4.141635894775391, 57.68437957763672, 544.6978149414062)"
1687833247.2960718,"(0, 0, 0)","(0, 0, 0)","(3.464794397354126, 58.06546401977539, 544.7399291992188)","(0, 0, 0)","(0, 0, 0)",670,2,"(3.464794397354126, 58.06546401977539, 544.7399291992188)"
1687833247.3042269,"(0, 0, 0)","(0, 0, 0)","(2.7311322689056396, 58.46355056762695, 544.7505493164062)","(0, 0, 0)","(0, 0, 0)",670,2,"(2.7311322689056396, 58.46355056762695, 544.7505493164062)"
1687833247.3124216,"(0, 0, 0)","(0, 0, 0)","(1.9646127223968506, 58.88483428955078, 544.7373046875)","(0, 0, 0)","(0, 0, 0)",670,2,"(1.9646127223968506, 58.88483428955078, 544.7373046875)"
1687833247.3212035,"(0, 0, 0)","(0, 0, 0)","(1.170150637626648, 59.326995849609375, 544.70361328125)","(0, 0, 0)","(0, 0, 0)",670,2,"(1.170150637626648, 59.326995849609375, 544.70361328125)"
1687833247.329434,"(0, 0, 0)","(0, 0, 0)","(0.32879015803337097, 59.78096389770508, 544.6405029296875)","(0, 0, 0)","(0, 0, 0)",670,2,"(0.32879015803337097, 59.78096389770508, 544.6405029296875)"
1687833247.3377943,"(0, 0, 0)","(0, 0, 0)","(-0.5595037937164307, 60.20808029174805, 544.584228515625)","(0, 0, 0)","(0, 0, 0)",670,2,"(-0.5595037937164307, 60.20808029174805, 544.584228515625)"
1687833247.346165,"(0, 0, 0)","(0, 0, 0)","(-1.4819129705429077, 60.58400344848633, 544.5516967773438)","(0, 0, 0)","(0, 0, 0)",670,2,"(-1.4819129705429077, 60.58400344848633, 544.5516967773438)"
1687833247.3541994,"(0, 0, 0)","(0, 0, 0)","(-2.443753242492676, 60.91165542602539, 544.5315551757812)","(0, 0, 0)","(0, 0, 0)",670,2,"(-2.443753242492676, 60.91165542602539, 544.5315551757812)"
1687833247.362643,"(0, 0, 0)","(0, 0, 0)","(-3.462998390197754, 61.20904541015625, 544.5189208984375)","(0, 0, 0)","(0, 0, 0)",670,2,"(-3.462998390197754, 61.20904541015625, 544.5189208984375)"
1687833247.3712327,"(0, 0, 0)","(0, 0, 0)","(-4.529021739959717, 61.49520492553711, 544.515869140625)","(0, 0, 0)","(0, 0, 0)",670,2,"(-4.529021739959717, 61.49520492553711, 544.515869140625)"
1687833247.3793333,"(0, 0, 0)","(0, 0, 0)","(-5.608309745788574, 61.765464782714844, 544.5043334960938)","(0, 0, 0)","(0, 0, 0)",670,2,"(-5.608309745788574, 61.765464782714844, 544.5043334960938)"
1687833247.3878603,"(0, 0, 0)","(0, 0, 0)","(-6.688628196716309, 62.027976989746094, 544.4774780273438)","(0, 0, 0)","(0, 0, 0)",670,2,"(-6.688628196716309, 62.027976989746094, 544.4774780273438)"
1687833247.3962507,"(0, 0, 0)","(0, 0, 0)","(-7.7754693031311035, 62.31050491333008, 544.3973388671875)","(0, 0, 0)","(0, 0, 0)",670,2,"(-7.7754693031311035, 62.31050491333008, 544.3973388671875)"
1687833247.4044025,"(0, 0, 0)","(0, 0, 0)","(-8.85886001586914, 62.645381927490234, 544.2622680664062)","(0, 0, 0)","(0, 0, 0)",670,2,"(-8.85886001586914, 62.645381927490234, 544.2622680664062)"
1687833247.412726,"(0, 0, 0)","(0, 0, 0)","(-9.954249382019043, 63.02907943725586, 544.0786743164062)","(0, 0, 0)","(0, 0, 0)",670,2,"(-9.954249382019043, 63.02907943725586, 544.0786743164062)"
